Nombre,Fabricante,Escala,Serie,Original,Fecha de lanzamiento,Precio venta,Precio especial,Código JAN,Embalaje,Peso
XXXG-01D2 Gundam D-Hell Custom Metal Clear Version ,Bandai,1/144,"HGFA Gundam W EW , Metal Clear Version",Mobile Suit Gundam,"1,620yenabout14.21USD","11.84USD

",sO,0071261, 29 x 19 x 6 cm , 231g
MMS-01 Serpent Custom Metal Clear Version ,Bandai,1/144,"HGFA Gundam W EW , Metal Clear Version",Mobile Suit Gundam,"1,296yenabout11.37USD","9.48USD

",sO,0071260, 25.5 x 19 x 5.7 cm , 208g
XXXG-01H2 Gundam H-Arms Custom Metal Clear Version ,Bandai,1/144,"HGFA Gundam W EW , Metal Clear Version",Mobile Suit Gundam,"1,296yenabout11.37USD","9.48USD

",sO,0071258, 25.5 x 19.2 x 5.7 cm , 210g
OZ-00MS2B Tallgeese III Special Metal Clear Version ,Bandai,1/144,"HGFA Gundam W EW , Metal Clear Version",Mobile Suit Gundam,"1,296yenabout11.37USD","9.48USD

",sO,0071259, 25.5 x 19 x 5.7 cm , 241g
XXXG-00W0 W-Gundam Zero Custom Metal Clear Version ,Bandai,1/144,"HGFA Gundam W EW , Metal Clear Version",Mobile Suit Gundam,"1,620yenabout14.21USD","11.84USD

",sO,0071257, 29 x 19 x 6 cm , 247g
Ginn Type Insurgentt ,Bandai,1/144,"HG Gundam SEED , 45",Mobile Suit Gundam,"Late Sep., 2006",11.37USD,9.48USD,4543112453808, 29.8 x 19 x 6.8 cm , 282g
Blu Duel Gundam ,Bandai,1/144,"HG Gundam SEED , 44",Mobile Suit Gundam,"Early Sep., 2006",15.16USD,12.63USD,4543112459381, 341g,null
RX-121-2 Gundam TR-1 Hazel-II ,Bandai,1/144,"HGUC , 069",Mobile Suit Gundam,"Late Sep., 2006",14.21USD,11.84USD,4543112459350, 31 x 19 x 7.2 cm , 340g
MS-05 Zaku I The Black Tri-Star ,Bandai,1/144,"HGUC , 068",Mobile Suit Gundam,"Late Aug., 2006",9.48USD,7.9USD,4543112453822, 29 x 19 x 6.2 cm , 295g
GAT-01A1 105 Slaughter ,Bandai,1/144,"HG Gundam SEED , 43",Mobile Suit Gundam,"Late Aug., 2006",11.37USD,9.48USD,4543112453792, 29.8 x 18.9 x 6.8 cm , 265g
GAT-X103AP Verde Buster Gundam ,Bandai,1/144,"HG Gundam SEED , 42",Mobile Suit Gundam,"Early Aug., 2006",15.16USD,12.63USD,4543112450746, 31.2 x 19.4 x 7.6 cm , 355g
RGM-79 Powered GM ,Bandai,1/144,"HGUC , 067",Mobile Suit Gundam,"Mid Aug., 2006",11.37USD,9.48USD,4543112450739, 29.8 x 19 x 6.7 cm , 295g
RX-78 GP02A Gundam GP02 PHYSALIS ,Bandai,1/144,"HGUC , 066",Mobile Suit Gundam,"Late Jul., 2006",18.95USD,15.79USD,4543112450692, 31 x 20 x 8 cm , 457g
EMS10 Zudah ,Bandai,1/144,"HGUC , 065",Mobile Suit Gundam,"Early Jun., 2006",13.27USD,11.05USD,4543112434227, 31 x 19 x 7.2 cm , 293g
GAT-X105E Strike Noerl Gundam ,Bandai,1/144,"HG Gundam SEED , 41",Mobile Suit Gundam,"Late Jun., 2006",14.21USD,11.84USD,4543112434241, 31.2 x 19.4 x 7.8 cm , 322g
MS-05 Zaku I ,Bandai,1/144,"HGUC , 064",Mobile Suit Gundam,"Late May, 2006",9.48USD,7.9USD,4543112434173, 29 x 19 x 6 cm , 295g
Owashi Akatsuki Gundam ,Bandai,1/144,"HG Gundam SEED , 40",Mobile Suit Gundam,"Late Apr., 2006",22.74USD,18.95USD,4543112419101, 31 x 19 x 7.6 cm , 320g
Murasame Production Type ,Bandai,1/144,"HG Gundam SEED , 39",Mobile Suit Gundam,"Early Mar., 2006",14.21USD,11.84USD,4543112419095, 31 x 19 x 7.6 cm , 330g
AMX-003 Gaza-C ,Bandai,1/144,"HGUC , 063",Mobile Suit Gundam,"Early Apr., 2006",14.21USD,11.84USD,4543112390899, 31 x 19 x 7.5 cm , 341g
AMX-003 Gaza-C ,Bandai,1/144,"HGUC , 062","Early Apr., 2006","1,512yenabout13.27USD","11.05USD

",sO,0141907, 31 x 19 x 7.2 cm , 310g
GX-9900 Gundam X ,Bandai,1/144,"HGAW , 109",Mobile Suit Gundam,"Mid Apr., 2010",17.06USD,14.21USD,4543112623539, 31.2 x 19.3 x 7.2 cm , 295g
D-50C Loto Twin Set ,Bandai,1/144,"HGUC , 106",Mobile Suit Gundam,"Mid Mar., 2010",15.16USD,12.63USD,4543112620491, 31.2 x 19.3 x 7.6 cm , 339g
ReZEL ,Bandai,1/144,"HGUC , 108",Mobile Suit Gundam,"Mid Mar., 2010",20.85USD,17.37USD,4543112620507, 31 x 20.2 x 19.1 cm , 431g
MS-06F-2 Zaku II Type F2 ,Bandai,1/144,"HGUC , 107",Mobile Suit Gundam,"Mid Mar., 2010",14.21USD,11.84USD,4543112620484, 31 x 19.3 x 7.1 cm , 289g
MS-06F-2 Zaku II Type F2 ,Bandai,1/144,"HGUC , 105",Mobile Suit Gundam,"Late Feb., 2010",14.21USD,11.84USD,4543112620255, 31 x 19.2 x 7 cm , 290g
Stark Jegan ,Bandai,1/144,"HGUC , 104",Mobile Suit Gundam,"Mid Feb., 2010",18.95USD,15.79USD,4543112619327, 31 x 19 x 8.2 cm , 362g
ReZEL ,Bandai,1/144,"HGUC , 103",Mobile Suit Gundam,"Late Jan., 2010",18.95USD,15.79USD,4543112615695, 31.3 x 19.2 x 8.3 cm , 381g
AMS-129 Geara Zulu ,Bandai,1/144,"HGUC , 102",Mobile Suit Gundam,"Late Dec., 2009",17.06USD,14.21USD,4543112614247, 31 x 19.1 x 7.7 cm , 335g
Sazabi Metallic Coating Ver. ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Late Jan., 2010",52.11USD,43.43USD,4543112615688, 31 x 20 x 13.5 cm , 562g
Nu Gundam Metallic Coating Ver. ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Late Jan., 2010",47.38USD,39.48USD,4543112615671, 31 x 20.2 x 9.4 cm , 438g
NZ-666 Kshatriya ,Bandai,1/144,"HGUC , 099",Mobile Suit Gundam,"Mid Oct., 2009",42.64USD,35.53USD,4543112605429, 39.1 x 31 x 11 cm , 878g
RX-0 Unicorn Gundam Unicorn Mode ,Bandai,1/144,"HGUC , 101",Mobile Suit Gundam,"Mid Nov., 2009",14.21USD,11.84USD,4543112610126,null,null
RX-0 Unicorn Gundam Destroy Mode ,Bandai,1/144,"HGUC , 100",Mobile Suit Gundam,"Mid Nov., 2009",17.06USD,14.21USD,4543112610119,null,null
Full Armor 7th Gundam ,Bandai,1/144,"HGUC , 098",Mobile Suit Gundam,"Early Sep., 2009",14.21USD,11.84USD,4543112599438, 31 x 19.3 x 7.3 cm , 297g
Gundam Ground Type The Ground War Set ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Mid Sep., 2009",20.85USD,17.37USD,4543112599452, 31 x 20.7 x 9.5 cm , 463g
RX-78-2 Gundam Ver.G 30th ,Bandai,1/144,HG,Mobile Suit Gundam,"Early Jul., 2009",11.37USD,9.48USD,4543112594501, 254g,null
Jegan ,Bandai,1/144,"HGUC , 097",Mobile Suit Gundam,"Early Aug., 2009",14.21USD,11.84USD,4543112599353, 31 x 19 x 7.3 cm , 292g
Ewac-Zack ,Bandai,1/144,"HGUC , 096",Mobile Suit Gundam,"Late Jun., 2009",15.16USD,12.63USD,4543112594402, 31 x 19.1 x 7.6 cm , 336g
Strum Dias ,Bandai,1/144,"HGUC , 094",Mobile Suit Gundam,"Late Apr., 2009",16.11USD,13.42USD,4543112587558, 31 x 19 x 7.4 cm , 366g
Hi-v Gundam ,Bandai,1/144,"HGUC , 095",Mobile Suit Gundam,"Mid Jun., 2009",20.85USD,17.37USD,4543112587626, 31 x 19 x 8.2 cm , 375g
Nu Gundam ,Bandai,1/144,"HGUC , 093",Mobile Suit Gundam,"Late Apr., 2009",26.53USD,22.11USD,4543112584366, 31 x 20 x 11.5 cm , 542g
MS-06 Zaku Ground Attack Set ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Mid Feb., 2009",20.85USD,17.37USD,4543112577320, 31 x 20 x 9.1 cm , 438g
Geara Doga ,Bandai,1/144,"HGUC , 092",Mobile Suit Gundam,"Mid Jan., 2009",17.06USD,14.21USD,4543112574688, 31 x 19 x 8 cm , 367g
Geara Doga ,Bandai,1/144,"HGUC , 091",Mobile Suit Gundam,"Mid Nov., 2008",17.06USD,14.21USD,4543112566546, 31 x 19 x 7.7 cm , 367g
MS-18E Kampfer ,Bandai,1/144,"HGUC , 089",Mobile Suit Gundam,"Early Aug., 2008",17.06USD,14.21USD,4543112555236, 31 x 19 x 8.2 cm , 379g
Rick Dom II Light Green Version ,Bandai,1/144,"HGUC , 090",Mobile Suit Gundam,"Early Aug., 2008",14.21USD,11.84USD,4543112557407, 31 x 19.2 x 8.2 cm , 367g
MS-06FZ Zaku II Custom ,Bandai,1/144,"HGUC , 087",Mobile Suit Gundam,"Mid May, 2008",11.37USD,9.48USD,4543112544841, 29 x 19 x 6.2 cm , 295g
Sazabi ,Bandai,1/144,"HGUC , 088",Mobile Suit Gundam,"Late Jun., 2008",26.53USD,22.11USD,4543112544995, 31 x 20 x 11.3 cm , 552g
Arms Astray PMC Custom Leons Graves Custom ,Bandai,1/144,"HG Gundam SEED , 56",Mobile Suit Gundam,"Late Mar., 2008",14.21USD,11.84USD,4543112531520, 31.2 x 19.2 x 8 cm , 322g
Gundam Astray Green Frame Trojan Noiret Custom ,Bandai,1/144,"HG Gundam SEED , 55",Mobile Suit Gundam,"Late Mar., 2008",11.37USD,9.48USD,4543112531513, 255g,null
RX-93 Nu Gundam ,Bandai,1/144,"HGUC , 086",Mobile Suit Gundam,"Late Mar., 2008",23.69USD,19.74USD,4543112531438, 31 x 20 x 9.3 cm , 552g
RX-78-3 Gundam + MS-09RS Rick Dom Char`s Custom Set ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Late Feb., 2008",23.69USD,19.74USD,4543112537065, 31 x 20 x 11.3 cm , 551g
Kerberos Bucue Hound Aleck Ladd Use ,Bandai,1/144,"HG Gundam SEED , 53",Mobile Suit Gundam,"Late Feb., 2008",14.21USD,11.84USD,4543112531490, 31 x 19.1 x 7.2 cm , 285g
Mobile Sigue Zist Elways Use ,Bandai,1/144,"HG Gundam SEED , 54",Mobile Suit Gundam,"Late Feb., 2008",11.37USD,9.48USD,4543112531506, 265g,null
ZGMF-2000 Gouf Ignited Rudolf Wittgenstein Custom ,Bandai,1/144,"HG Gundam SEED , 52",Mobile Suit Gundam,"Late Jan., 2008",14.21USD,11.84USD,4543112531483, 320g,null
RGZ-91 Re-GZ ,Bandai,1/144,"HGUC , 085",Mobile Suit Gundam,"Mid Jan., 2008",26.53USD,22.11USD,4543112523655, 31 x 20 x 11.2 cm , 552g
MSN-03 Jagd Doga Quess Ea Use ,Bandai,1/144,"HGUC , 084",Mobile Suit Gundam,"Mid Oct., 2007",20.85USD,17.37USD,4543112512420, 31 x 20 x 9.3 cm , 476g
MSN-03 Jagd Doga Gunneys Guss Use ,Bandai,1/144,"HGUC , 083",Mobile Suit Gundam,"Mid Oct., 2007",20.85USD,17.37USD,4543112512413, 31 x 20 x 9.3 cm , 476g
RX-79BD-3 Blue Destiny Unit 3 ,Bandai,1/144,"HGUC , 082",Mobile Suit Gundam,"Mid Sep., 2007",14.21USD,11.84USD,4543112512406, 31 x 19 x 7.7 cm , 367g
ZGMF-1001/M Blaze Zaku Phantom Dearka Elthman Use ,Bandai,1/144,"HG Gundam SEED , 51",Mobile Suit Gundam,"Early Sep., 2007",14.21USD,11.84USD,4543112506634, 31.1 x 19.1 x 7.6 cm , 330g
Genoace Custom ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Nov., 2011",11.37USD,9.48USD,4543112716262, 29.9 x 19 x 5.7 cm , 230g
Gundam AGE-1 Spallow ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Dec., 2011",11.37USD,9.48USD,4543112728203, 29.9 x 19 x 5.8 cm , 217g
Gundam AGE-1 Titus ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Nov., 2011",11.37USD,9.48USD,4543112716231, 29.8 x 19 x 5.7 cm , 240g
Zee Zulu ,Bandai,1/144,"HGUC , 132",Mobile Suit Gundam,"Late Nov., 2011",20.85USD,17.37USD,4543112716316, 31.2 x 20.1 x 8.3 cm , 382g
MS-21C DRA-C ,Bandai,1/144,"HGUC , 133",Mobile Suit Gundam,"Late Nov., 2011",18.95USD,15.79USD,4543112716323, 31.1 x 19.2 x 7.8 cm , 342g
GM II ,Bandai,1/144,"HGUC , 131",Mobile Suit Gundam,"Mid Oct., 2011",13.27USD,11.05USD,4543112716309, 30 x 19 x 5.7 cm , 257g
Jesta ,Bandai,1/144,"HGUC , 130",Mobile Suit Gundam,"Mid Sep., 2011",15.16USD,12.63USD,4543112710772,null,null
Gundam AGE-1 Normal ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Oct., 2011",11.37USD,9.48USD,4543112710628, 29.9 x 19 x 5.8 cm , 225g
Genoace ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Oct., 2011",11.37USD,9.48USD,4543112715371, 30 x 19 x 5.7 cm , 226g
Gafran ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Oct., 2011",11.37USD,9.48USD,4543112715388, 29.8 x 19 x 5.8 cm , 250g
Nobel Gundam Berserker Mode ,Bandai,1/144,"HGFC , 129",Mobile Suit Gundam,"Early Sep., 2011",14.21USD,11.84USD,4543112710765, 29.9 x 19 x 5.7 cm , 242g
Master Gundam & Fuunsaiki ,Bandai,1/144,"HGFC , 128",Mobile Suit Gundam,"Late Aug., 2011",24.64USD,20.53USD,4543112709615, 31 x 20 x 10.3 cm , 542g
Shining Gundam ,Bandai,1/144,"HGFC , 127",Mobile Suit Gundam,"Late Aug., 2011",14.21USD,11.84USD,4543112709608,null,null
RGM-86R GM III ,Bandai,1/144,"HGUC , 126",Mobile Suit Gundam,"Early Jul., 2011",14.21USD,11.84USD,4543112703965, 29.1 x 19.2 x 6.2 cm , 294g
RGC-83 GM Cannon II ,Bandai,1/144,"HGUC , 125",Mobile Suit Gundam,"Mid Jun., 2011",13.27USD,11.05USD,4543112703842, 29.8 x 18.9 x 6.9 cm , 294g
Dreissen ,Bandai,1/144,"HGUC , 124",Mobile Suit Gundam,"Mid May, 2011",18.95USD,15.79USD,4543112701206, 31 x 20 x 9.3 cm , 455g
Jegan ,Bandai,1/144,"HGUC , 123",Mobile Suit Gundam,"Early Apr., 2011",15.16USD,12.63USD,4543112694911, 31 x 19.2 x 7.2 cm , 318g
MSN-06S Sinanju Titanium Finish ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Mid Mar., 2011",49.27USD,41.06USD,4543112694836, 31 x 20 x 10.3 cm , 509g
Unicorn Gundam Destroy Mode Titanium Finish ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Mid Mar., 2011",39.8USD,33.16USD,4543112694829, 31 x 19.2 x 7.8 cm , 363g
Gunpla Starter Set Vol.2 ,Bandai,1/144,HG,Mobile Suit Gundam,"Late Mar., 2011",13.27USD,11.05USD,4543112694812, 29.8 x 19 x 5.8 cm , 289g
Geara Zulu ,Bandai,1/144,"HGUC , 122",Mobile Suit Gundam,"2,160yenabout18.95USD","15.79USD

",sO,2101616, 31.2 x 19 x 8.3 cm , 382g
Extreme Gundam ,Bandai,1/144,"HG , 121",Mobile Suit Gundam,"Mid Feb., 2011",15.16USD,12.63USD,4543112642677, 29.8 x 18.8 x 6.9 cm , 284g
Beginning 30 Gundam ,Bandai,1/144,HG,Mobile Suit Gundam,"Late Jan., 2011",20.85USD,17.37USD,4543112670731, 31 x 20.1 x 8.2 cm , 415g
RGM-79N GM Custom ,Bandai,1/144,"HGUC , 120",Mobile Suit Gundam,"Mid Jan., 2011",12.32USD,10.26USD,4543112667847,null,null
GPB-X78-30 Forever Gundam ,Bandai,1/144,HG,Mobile Suit Gundam,"Early Jan., 2011",18.95USD,15.79USD,4543112667922, 31.1 x 19.1 x 7.3 cm , 384g
Nobel Gundam ,Bandai,1/144,"HGFC , 119",Mobile Suit Gundam,"Early Jan., 2011",14.21USD,11.84USD,4543112656605, 30.2 x 19.2 x 5.6 cm , 234g
Gundam X Divider ,Bandai,1/144,"HGAW , 118",Mobile Suit Gundam,"Mid Dec., 2010",17.06USD,14.21USD,4543112656612, 31.1 x 19.2 x 7.2 cm , 318g
MS-07B-3 Gouf Custom ,Bandai,1/144,"HGUC , 117",Mobile Suit Gundam,"Early Nov., 2010",15.16USD,12.63USD,4543112655035, 30.7 x 19 x 7.6 cm , 326g
MSN-06S Sinanju ,Bandai,1/144,"HGUC , 116",Mobile Suit Gundam,"Late Oct., 2010",24.64USD,20.53USD,4543112652973, 31 x 20.2 x 10.3 cm , 502g
Delta Plus ,Bandai,1/144,"HGUC , 115",Mobile Suit Gundam,"Early Sep., 2010",20.85USD,17.37USD,4543112642653, 31 x 19 x 8.3 cm , 354g
GPB-04B Beacguy ,Bandai,1/144,HG,Mobile Suit Gundam,"Early Dec., 2010",17.06USD,14.21USD,4543112653949, 31 x 19 x 8.3 cm , 387g
GPB-06F Super Custom Zaku F2000 ,Bandai,1/144,HG,Mobile Suit Gundam,"Mid Nov., 2010",20.85USD,17.37USD,4543112653932, 31 x 20 x 9.3 cm , 424g
RX-93-v2 Hi-v Gundam GPB Color ,Bandai,1/144,HG,Mobile Suit Gundam,"Late Sep., 2010",20.85USD,17.37USD,4543112652997, 31 x 19.1 x 8.5 cm , 377g
GPB-X80 Beginning Gundam ,Bandai,1/144,HG,Mobile Suit Gundam,"Late Sep., 2010",15.16USD,12.63USD,4543112652966, 31 x 19 x 7 cm , 301g
AMS-129 Geara Zulu Angelo Sauper Custom ,Bandai,1/144,"HGUC , 112",Mobile Suit Gundam,"Late Jul., 2010",20.85USD,17.37USD,4543112642509, 31.2 x 20 x 8.3 cm , 378g
RB-79 Ball Twin Set ,Bandai,1/144,"HGUC , 114",Mobile Suit Gundam,"Early Sep., 2010",12.32USD,10.26USD,4543112645692, 30 x 19 x 6.7 cm , 307g
RGM-79C GM Type C ,Bandai,1/144,"HGUC , 113",Mobile Suit Gundam,"Mid Aug., 2010",11.37USD,9.48USD,4543112645630, 29 x 19 x 6.2 cm , 262g
Gunpla Starter Set ,Bandai,1/144,HGUC,Mobile Suit Gundam,"Mid Jul., 2010",18.95USD,15.79USD,4543112642684, 31 x 19 x 8.2 cm , 448g
MSZ-010 ZZ Gundam ,Bandai,1/144,"HGUC , 111",Mobile Suit Gundam,"Mid Jun., 2010",21.79USD,18.16USD,4543112632760, 31 x 20 x 9 cm , 446g
God Gundam ,Bandai,1/144,"HGFC , 110",Mobile Suit Gundam,"Mid May, 2010",17.06USD,14.21USD,4543112631183, 31 x 19.2 x 7.1 cm , 297g
Gundam AGE-3 Normal ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early May, 2012",15.16USD,12.63USD,4543112757067, 29.9 x 19 x 6.8 cm , 320g
RAS-96 Anksha ,Bandai,1/144,"HGUC , 141",Mobile Suit Gundam,"Late May, 2012",24.64USD,20.53USD,4543112757173, 31 x 20.2 x 10.3 cm , 452g
Farsia ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Late Apr., 2012",11.37USD,9.48USD,4543112753342, 29.9 x 19 x 5.8 cm , 254g
Shaldoll Custom ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Apr., 2012",11.37USD,9.48USD,4543112753359, 29.8 x 19 x 5.7 cm , 230g
Adele ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Apr., 2012",11.37USD,9.48USD,4543112757791, 29.9 x 19 x 5.7 cm , 245g
MSA-003 Nemo ,Bandai,1/144,"HGUC , 140",Mobile Suit Gundam,"Mid Apr., 2012",14.21USD,11.84USD,4543112753311, 29.8 x 19 x 5.7 cm , 273g
Zaku I Sniper Type ,Bandai,1/144,"HGUC , 137",Mobile Suit Gundam,"Late Mar., 2012",15.16USD,12.63USD,4543112757944, 29.8 x 18.9 x 7 cm , 302g
Marasai ,Bandai,1/144,"HGUC , 138",Mobile Suit Gundam,"Late Mar., 2012",15.16USD,12.63USD,4543112757777, 19.1 x 7.3 x 7 cm , 340g
MSM-04G Juaggu ,Bandai,1/144,"HGUC , 139",Mobile Suit Gundam,"Late Mar., 2012",16.11USD,13.42USD,4543112757012, 31 x 19.2 x 7.8 cm , 348g
G Bouncer ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Feb., 2012",14.21USD,11.84USD,4543112755483, 30 x 19 x 6.8 cm , 278g
Genoace II ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Mar., 2012",11.37USD,9.48USD,4543112753199, 29.8 x 18.9 x 5.8 cm , 233g
Gundam AGE-2 Double Bullet ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Late Mar., 2012",14.21USD,11.84USD,4543112753182, 29.9 x 19.9 x 6.9 cm , 292g
Zeydra ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Late Feb., 2012",12.32USD,10.26USD,4543112753007, 29.9 x 18.9 x 6.7 cm , 270g
Delta Gundam ,Bandai,1/144,"HGUC , 136",Mobile Suit Gundam,"Early Mar., 2012",39.8USD,33.16USD,4543112753151, 31.2 x 19.2 x 9 cm , 404g
Adele ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Feb., 2012",11.37USD,9.48USD,4543112752963, 29.8 x 19 x 5.7 cm , 246g
Zedas R ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Late Jan., 2012",14.21USD,11.84USD,4543112739070, 29.8 x 19 x 5.8 cm , 255g
Dorado ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Late Jan., 2012",11.37USD,9.48USD,4543112739353, 29.8 x 19 x 5.7 cm , 254g
Gundam AGE-2 Normal ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Jan., 2012",14.21USD,11.84USD,4543112739049, 29.8 x 18.8 x 6.8 cm , 291g
R15 Freedom Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Late Feb., 2012",14.21USD,11.84USD,4543112753052, 31 x 19.2 x 7.7 cm , 304g
R14 Justice Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Late Feb., 2012",14.21USD,11.84USD,4543112753045, 31 x 19.1 x 7.8 cm , 312g
R13 Providence Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Late Feb., 2012",14.21USD,11.84USD,4543112753038, 31 x 19.1 x 7.7 cm , 301g
R12 Mobile BuCUE ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Late Feb., 2012",13.27USD,11.05USD,4543112753021, 29.1 x 19.1 x 6.2 cm , 250g
R11 LaGOWE ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Late Feb., 2012",13.27USD,11.05USD,4543112753014, 29.1 x 19.1 x 6.3 cm , 246g
R10 Raider Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Jan., 2012",14.21USD,11.84USD,4543112739193, 31 x 19.1 x 7.7 cm , 311g
R09 Forbidden Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Jan., 2012",14.21USD,11.84USD,4543112739186, 31 x 19.1 x 7.7 cm , 313g
R08 Calamity Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Jan., 2012",11.37USD,9.48USD,4573102557377, 29.8 x 18.9 x 6.8 cm , 284g
R07 Mobile Cgue ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Jan., 2012",11.37USD,9.48USD,4543112739162, 29.8 x 18.9 x 6.7 cm , 262g
Unicorn Gundam 02 Banshee ,Bandai,1/144,"HGUC , 134",Mobile Suit Gundam,"Early Jan., 2012",17.06USD,14.21USD,4543112739018, 31.1 x 19.1 x 8.2 cm , 397g
Unicorn Gundam 02 Banshee ,Bandai,1/144,"HGUC , 135",Mobile Suit Gundam,"Early Jan., 2012",15.16USD,12.63USD,4543112739025, 31 x 19.1 x 7.8 cm , 333g
G-Exes ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Mid Dec., 2011",11.37USD,9.48USD,4543112728197, 29.9 x 19 x 5.7 cm , 228g
R06 Mobile Ginn ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Nov., 2011",9.48USD,7.9USD,4543112733719, 29.8 x 19 x 6.8 cm , 258g
R05 Aegis Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Nov., 2011",11.37USD,9.48USD,4543112733702, 29.8 x 18.9 x 6.8 cm , 290g
R04 Blitz Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Nov., 2011",11.37USD,9.48USD,4543112733696, 29.8 x 18.9 x 6.8 cm , 257g
R03 Buster Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Nov., 2011",9.48USD,7.9USD,4543112733689, 29 x 19.1 x 6.3 cm , 239g
R02 Duel Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Nov., 2011",11.37USD,9.48USD,4543112733672, 29.8 x 18.9 x 6.8 cm , 268g
R01 Aile Strike Gundam ,Bandai,1/144,Remaster Ver.,Mobile Suit Gundam,"Mid Nov., 2011",11.37USD,9.48USD,4543112733665, 29.8 x 19.9 x 6.8 cm , 272g
Beginning D Gundam ,Bandai,1/144,HG,Mobile Suit Gundam,"Late Dec., 2011",15.16USD,12.63USD,4543112728241, 31 x 19.2 x 7.3 cm , 327g
Beginning J Gundam ,Bandai,1/144,HG,Mobile Suit Gundam,"Late Dec., 2011",15.16USD,12.63USD,4543112728258, 31 x 19.2 x 7.3 cm , 329g
Baqto ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Early Dec., 2011",14.21USD,11.84USD,4543112728210, 29.9 x 19 x 6.8 cm , 290g
Zedas ,Bandai,1/144,HGAGE,Mobile Suit Gundam,"Late Nov., 2011",14.21USD,11.84USD,4543112716248, 30 x 19 x 5.8 cm , 256g
XXXG-01W Wing Gundam ,Bandai,1/144,"HGAC , 162",Mobile Suit Gundam,"Mid Sep., 2013",14.21USD,11.84USD,4543112836632, 29.8 x 19 x 6.8 cm , 268g
MSM-08 Zogok ,Bandai,1/144,"HGUC , 161",Mobile Suit Gundam,"Early Sep., 2013",16.11USD,13.42USD,4543112836595, 29.8 x 19 x 7.8 cm , 341g
Gundam Astray Gold Frame Amatsu Mina ,Bandai,1/144,"HG Gundam SEED , 59",Mobile Suit Gundam,"Mid Sep., 2013",17.06USD,14.21USD,4543112836601, 30 x 19.1 x 7.8 cm , 352g
Gundam Astray Red Frame ,Bandai,1/144,"HG Gundam SEED , 58",Mobile Suit Gundam,"Late Aug., 2013",16.11USD,13.42USD,4573102556028, 29.8 x 18.8 x 6.6 cm , 339g
AMX-014 Doven Wolf ,Bandai,1/144,"HGUC , 160",Mobile Suit Gundam,"Early Aug., 2013",20.85USD,17.37USD,4543112836588, 31 x 20 x 9.3 cm , 483g
AGX-04 Gerbera Tetra ,Bandai,1/144,"HGUC , 159",Mobile Suit Gundam,"Late Jul., 2013",17.06USD,14.21USD,4543112836571, 30 x 19 x 8 cm , 345g
Base Jabber Type 89 ,Bandai,1/144,"HGUC , 158",Mobile Suit Gundam,"Mid Jun., 2013",11.37USD,9.48USD,4543112823298, 29.9 x 19 x 5.8 cm , 269g
